Date,Cluster,Ticker,Action,Shares_Qty,Close,Final_Weight,Position,Score_MR,Score_Mom,Score_VB,Score_XSR,Score_Val
2024-06-20,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,34313820,14.57,0.5,1.0,0.9495,0.0,-0.3956,1.0,1.0
2024-06-21,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,7092934,70.49,-0.5,-1.0,-0.9556,1.0,-0.3978,0.0,0.0
2024-06-21,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,34173476,14.63,0.5,1.0,0.9556,0.0,-0.3816,1.0,1.0
2024-06-24,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,7060240,70.82,0.5,1.0,-0.7065,1.0,-0.3399,1.0,0.0
2024-06-24,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,33623402,14.87,-0.5,-1.0,0.7065,0.0,-0.341,0.0,1.0
2024-06-25,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,7146549,69.96,-0.5,-1.0,-1.0,1.0,-0.4505,0.0,0.0
2024-06-25,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,35131384,14.23,0.5,1.0,1.0,0.0,-0.1398,1.0,1.0
2024-06-26,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,7133236,70.09,0.5,1.0,-0.9154,0.0,-0.4285,1.0,0.0
2024-06-26,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,34479019,14.5,-0.5,-1.0,0.9154,1.0,-0.0854,0.0,1.0
2024-06-27,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_LONG,7135895,70.07,0.5,1.0,-0.7975,1.0,-0.4592,1.0,0.0
2024-06-27,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_SHORT,34313820,14.57,-0.5,-1.0,0.7975,0.0,-0.1883,0.0,1.0
2024-06-28,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,7055037,70.87,-0.5,-1.0,-0.8089,1.0,-0.5835,0.0,0.0
2024-06-28,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,34150197,14.64,0.5,1.0,0.8089,0.0,-0.2348,1.0,1.0
2024-07-01,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,6949403,71.95,-0.5,-1.0,-1.0,1.0,-0.4744,0.0,0.0
2024-07-01,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,34408028,14.53,0.5,1.0,1.0,0.0,-0.2072,1.0,1.0
2024-07-02,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,7148551,69.94,0.5,1.0,-0.5281,1.0,-0.2361,1.0,0.0
2024-07-02,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,33965102,14.72,-0.5,-1.0,0.5281,0.0,-0.2164,0.0,1.0
2024-07-03,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,7019471,71.23,-0.5,-1.0,-0.5733,1.0,-0.4602,0.0,0.0
2024-07-03,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,33713850,14.83,0.5,1.0,0.5733,0.0,-0.3505,1.0,1.0
2024-07-05,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,7146549,69.96,-0.5,-1.0,-0.7797,1.0,-0.4023,0.0,0.0
2024-07-05,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,34597993,14.45,0.5,1.0,0.7797,0.0,-0.2735,1.0,1.0
2024-07-08,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,7062845,70.79,0.5,1.0,-0.6745,1.0,-0.3823,1.0,0.0
2024-07-08,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,34173476,14.63,-0.5,-1.0,0.6745,0.0,-0.2104,0.0,1.0
2024-07-09,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,7292869,68.56,-0.5,-1.0,-0.8666,1.0,-0.127,0.0,0.0
2024-07-09,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,35379318,14.13,0.5,1.0,0.8666,0.0,-0.0759,1.0,1.0
2024-07-10,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_SHORT,7073282,70.69,-0.5,-1.0,-0.8229,1.0,0.0537,0.0,0.0
2024-07-10,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_LONG,34693766,14.41,0.5,1.0,0.8229,0.0,-0.0532,1.0,1.0
2024-07-11,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,6744973,74.13,0.5,1.0,-0.4889,1.0,0.4995,1.0,0.0
2024-07-11,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,32981902,15.16,-0.5,-1.0,0.4889,0.0,0.0022,0.0,1.0
2024-07-12,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,6587736,75.9,-0.5,-1.0,-0.4227,1.0,0.4541,0.0,0.0
2024-07-12,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,32385334,15.44,0.5,1.0,0.4227,0.0,-0.0223,1.0,1.0
2024-07-15,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,6438203,77.66,0.5,1.0,-0.23,1.0,0.3599,1.0,0.0
2024-07-15,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,31529871,15.86,-0.5,-1.0,0.23,0.0,0.0459,0.0,1.0
2024-07-16,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_LONG,6191480,80.76,0.5,1.0,0.1351,1.0,0.3752,1.0,0.0
2024-07-16,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_SHORT,30037445,16.65,-0.5,-1.0,-0.1351,0.0,0.1897,0.0,1.0
2024-07-17,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_LONG,6282913,79.58,0.5,1.0,0.2173,1.0,0.3998,1.0,0.0
2024-07-17,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_SHORT,30145818,16.59,-0.5,-1.0,-0.2173,0.0,0.1741,0.0,1.0
2024-07-18,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,HOLD_LONG,6446332,77.56,0.5,1.0,0.3458,1.0,0.6196,1.0,0.0
2024-07-18,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,HOLD_SHORT,30364923,16.47,-0.5,-1.0,-0.3458,0.0,0.1847,0.0,1.0
2024-07-19,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,6493338,77.0,-0.5,-1.0,0.2672,1.0,0.7024,0.0,0.0
2024-07-19,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,30699627,16.29,0.5,1.0,-0.2672,0.0,0.2801,1.0,1.0
2024-07-22,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,6301525,79.35,0.5,1.0,0.4659,1.0,0.7719,1.0,0.0
2024-07-22,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,29769889,16.8,-0.5,-1.0,-0.4659,0.0,0.3315,0.0,1.0
2024-07-23,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,6217115,80.42,-0.5,-1.0,0.5359,1.0,0.8093,0.0,0.0
2024-07-23,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,29385985,17.01,0.5,1.0,-0.5359,0.0,0.3666,1.0,1.0
2024-07-24,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,6452850,77.49,0.5,1.0,0.6078,1.0,0.9574,1.0,0.0
2024-07-24,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_SHORT,29947725,16.7,-0.5,-1.0,-0.6078,0.0,0.0687,0.0,1.0
2024-07-25,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_SHORT,6152681,81.27,-0.5,-1.0,0.4913,1.0,1.0,0.0,0.0
2024-07-25,cluster_consumer-cyclical_furnishings-fixtures-appliances,TILE,OPEN_LONG,29300111,17.06,0.5,1.0,-0.4913,0.0,0.062,1.0,1.0
2024-07-26,cluster_consumer-cyclical_furnishings-fixtures-appliances,PATK,OPEN_LONG,6077970,82.26,0.5,1.0,0.6304,1.0,1.0,1.0,0.0
